Number_of_cities;Dataset;Fitness;Solution;Drone;Truck;A
10;C101_0.5.dat;147;[[[[0, [0, 7, 10, 8, 9, 6, 2, 1, 4, 3, 5, 0]], [7, []], [10, []], [8, []], [9, []], [6, []], [2, []], [1, []], [4, []], [3, []], [5, []]]], []];1;1;4
10;C101_0.5.dat;120;[[[[0, [0, 2, 1, 4, 3, 5, 0]], [9, [9]], [2, []], [1, []], [4, []], [3, []], [5, []]], [[0, [0, 7, 6, 8, 10, 0]], [7, []], [6, []], [8, []], [10, []]]], [[[9, [9]]]]];2;2;4
10;C101_1.5.dat;193;[[[[0, [0, 7, 10, 8, 9, 6, 2, 1, 4, 3, 5, 0]], [7, []], [10, []], [8, []], [9, []], [6, []], [2, []], [1, []], [4, []], [3, []], [5, []]]], []];1;1;4
10;C101_1.5.dat;157;[[[[0, [3, 4, 1, 10]], [10, []], [3, []], [4, []], [2, [2, 5]], [1, []], [5, []]], [[0, [8, 6, 7, 9]], [6, []], [9, []], [8, []], [7, []]]], [[[2, [2, 5]]]]];2;2;4
10;C101_1.dat;168;[[[[0, [5, 10, 7, 3, 4, 2, 1]], [5, [8, 9]], [3, []], [4, []], [1, []], [2, []], [9, []], [6, [6]], [8, []], [10, []], [7, []]]], [[[5, [8, 9]]], [[6, [6]]]]];1;1;4
10;C101_1.dat;130;[[[[0, [0, 10, 0]], [10, []], [8, [8, 9, 6]], [9, []], [6, []]], [[0, [0, 7, 4, 1, 2, 3, 5, 0]], [7, []], [4, []], [1, []], [2, []], [3, []], [5, []]]], [[[8, [8, 9, 6]]]]];2;2;4
10;C101_2.5.dat;204,3652431;[[[[0, [3, 4, 2, 1]], [3, [10]], [4, []], [2, []], [1, []], [5, [5, 8, 6, 7]], [10, []], [8, []], [9, [9]], [6, []], [7, []]]], [[[3, [10]]], [[5, [5, 8, 6, 7]]], [[9, [9]]]]];1;1;4
10;C101_2.5.dat;185,0997512;[[[[0, [5, 3, 1]], [5, []], [3, []], [1, []], [2, [2]], [9, [9]]], [[0, [4, 10]], [7, [7]], [4, []], [10, []], [8, [8, 6]], [6, []]]], [[[2, [2]]], [[7, [7]]], [[8, [8, 6]]], [[9, [9]]]]];2;2;4
10;C101_2.dat;197,3900074;[[[[0, [0, 5, 10, 3, 4, 1, 2, 0]], [5, [7]], [10, []], [7, []], [3, [6, 9]], [4, []], [1, []], [2, []], [6, []], [9, []], [8, [8]]]], [[[3, [6, 9]]], [[5, [7]]], [[8, [8]]]]];1;1;4
10;C101_2.dat;162,0997512;[[[[0, [1]], [4, [4, 2]], [7, [7]], [1, []], [2, []], [9, [9, 6]], [6, []]], [[0, [3, 10, 5]], [5, []], [3, []], [10, []], [8, [8]]]], [[[4, [4, 2]]], [[7, [7]]], [[9, [9, 6]]], [[8, [8]]]]];2;2;4
10;C101_3.dat;249;[[[[0, [0, 7, 10, 8, 6, 2, 1, 4, 3, 5, 0]], [7, []], [10, []], [8, []], [9, [9]], [6, []], [2, []], [1, []], [4, []], [3, []], [5, []]]], [[[9, [9]]]]];1;1;4
10;C101_3.dat;208,0997512;[[[[0, [5, 3, 7, 8]], [5, []], [3, []], [7, []], [8, []]], [[0, [4, 1]], [1, []], [2, [2, 10]], [4, []], [10, []], [6, [6]], [9, [9]]]], [[[2, [2, 10]]], [[6, [6]]], [[9, [9]]]]];2;2;4
10;C201_0.5.dat;397;[[[[0, [5, 4, 3, 7, 1, 2, 10, 8, 6]], [5, []], [4, []], [3, []], [7, []], [1, []], [2, []], [9, [9]], [10, []], [8, []], [6, []]]], [[[9, [9]]]]];1;1;4
10;C201_0.5.dat;260;[[[[0, [10]], [10, [9, 6]], [9, []], [6, []]], [[0, [4, 3, 7, 1, 2, 5, 8]], [4, []], [3, []], [7, []], [1, []], [2, []], [5, []], [8, []]]], [[[10, [6]]], [[10, [9]]]]];2;2;4
10;C201_1.5.dat;408;[[[[0, [2, 5, 1]], [5, [4, 3]], [4, []], [3, []], [7, [7, 10]], [1, []], [2, []], [9, [9, 8]], [10, []], [8, []], [6, [6]]]], [[[5, [4, 3]]], [[7, [7, 10]]], [[9, [9, 8]]], [[6, [6]]]]];1;1;4
10;C201_1.5.dat;272,9072481;[[[[0, [1]], [1, []], [4, [4, 3]], [3, []], [7, [7, 10]], [9, [9, 8]], [10, []], [8, []]], [[0, []], [5, [5]], [2, [2]], [6, [6]]]], [[[5, [5]]], [[2, [2]]], [[4, [4, 3]]], [[7, [7, 10]]], [[6, [6]]], [[9, [9, 8]]]]];2;2;4
10;C201_1.dat;426;[[[[0, [0, 10, 2, 1, 7, 3, 4, 5, 0]], [6, [6, 8]], [8, []], [10, [9]], [9, []], [2, []], [1, []], [7, []], [3, []], [4, []], [5, []]]], [[[6, [6, 8]]], [[10, [9]]]]];1;1;4
10;C201_1.dat;279,2982213;[[[[0, [3, 7, 4, 1]], [2, [2, 5]], [1, []], [3, []], [7, []], [4, []], [5, []]], [[0, []], [6, [8, 6]], [9, [9, 10]], [10, []], [8, []]]], [[[2, [2, 5]]], [[6, [8, 6]]], [[9, [10]]], [[9, [9]]]]];2;2;4
10;C201_2.5.dat;481,9072481;[[[[0, [0, 5, 2, 1, 4, 0]], [5, [3, 10]], [2, []], [1, []], [7, [7]], [3, []], [4, []], [10, [8]], [8, []], [9, [6, 9]], [6, []]]], [[[5, [3, 10]]], [[7, [7]]], [[9, [6, 9]]], [[10, [8]]]]];1;1;4
10;C201_2.5.dat;370,3238076;[[[[0, [0, 5, 1, 4, 2, 0]], [5, []], [1, []], [4, []], [3, [10, 3, 7]], [7, []], [2, []], [10, []], [9, [8, 9]], [8, []]], [[0, [0, 6, 0]], [6, []]]], [[[3, [10, 3, 7]]], [[9, [8, 9]]]]];2;2;4
10;C201_2.dat;541;[[[[0, [4, 7, 6, 5, 1, 8, 2, 3, 10]], [5, []], [4, []], [3, []], [7, []], [1, []], [2, []], [9, [9]], [10, []], [8, []], [6, []]]], [[[9, [9]]]]];1;1;4
10;C201_2.dat;360;[[[[0, [1]], [2, [2]], [10, [10, 3]], [5, [5]], [4, [4]], [3, []], [7, [7]], [1, []], [9, [9]]], [[0, [8, 6]], [6, []], [8, []]]], [[[2, [2]]], [[10, [10, 3]]], [[5, [5]]], [[4, [4]]], [[7, [7]]], [[9, [9]]]]];2;2;4
10;C201_3.dat;677;[[[[0, [0, 6, 8, 10, 9, 2, 1, 7, 3, 4, 5, 0]], [6, []], [8, []], [10, []], [9, []], [2, []], [1, []], [7, []], [3, []], [4, []], [5, []]]], []];1;1;4
10;C201_3.dat;541;[[[[0, [6, 9]], [6, []], [9, []]], [[0, [5, 2, 7, 1]], [5, []], [2, []], [1, []], [7, []], [3, [3]], [4, [4]], [10, [10]], [8, [8]]]], [[[3, [3]]], [[4, [4]]], [[10, [10]]], [[8, [8]]]]];2;2;4
10;R101_0.5.dat;455;[[[[0, [2, 4, 3, 5, 1]], [2, [10]], [4, []], [3, []], [9, [9, 7]], [1, []], [10, []], [7, []], [8, [8, 6]], [5, []], [6, []]]], [[[2, [10]]], [[9, [9, 7]]], [[8, [8, 6]]]]];1;1;4
10;R101_0.5.dat;271;[[[[0, [0, 1, 0]], [1, [4, 3]], [9, [9, 2]], [3, []], [4, []], [2, []]], [[0, [0, 10, 7, 5, 0]], [10, []], [7, []], [8, [6, 8]], [5, []], [6, []]]], [[[1, [4, 3]]], [[9, [9, 2]]], [[8, [6, 8]]]]];2;2;4
10;R101_1.5.dat;607;[[[[0, [4, 2, 6, 5, 1, 7, 10]], [6, []], [5, []], [8, [8, 9, 3]], [7, []], [10, []], [1, []], [9, []], [3, []], [4, []], [2, []]]], [[[8, [8, 9, 3]]]]];1;1;4
10;R101_1.5.dat;366;[[[[0, [0, 7, 8, 5, 6, 0]], [7, []], [8, []], [5, []], [6, []]], [[0, [0, 1, 0]], [1, []], [2, [2, 3, 4]], [4, []], [3, []], [9, [9, 10]], [10, []]]], [[[2, [2, 3, 4]]], [[9, [9, 10]]]]];2;2;4
10;R101_1.dat;485;[[[[0, [0, 2, 4, 3, 1, 5, 0]], [2, []], [4, [7]], [3, [9]], [9, []], [1, []], [10, [8, 10]], [7, []], [8, []], [5, []], [6, [6]]]], [[[3, [9]]], [[4, [7]]], [[6, [6]]], [[10, [8, 10]]]]];1;1;4
10;R101_1.dat;306;[[[[0, [5]], [10, [10, 7, 8]], [7, []], [8, []], [5, []], [6, [6]]], [[0, [2, 4, 3, 1]], [2, []], [4, []], [3, []], [9, [9]], [1, []]]], [[[10, [10, 8]]], [[10, [7]]], [[9, [9]]], [[6, [6]]]]];2;2;4
10;R101_2.5.dat;616,0156212;[[[[0, [1, 2, 4, 3]], [1, [5]], [2, [7]], [4, [10]], [3, []], [9, [9]], [10, []], [7, []], [8, [8]], [5, []], [6, [6]]]], [[[1, [5]]], [[2, [7]]], [[4, [10]]], [[9, [9]]], [[8, [8]]], [[6, [6]]]]];1;1;4
10;R101_2.5.dat;486,0156212;[[[[0, [1]], [1, []], [5, [5]], [10, [10]], [3, [3]], [9, [9]]], [[0, [4]], [2, [2]], [4, []], [8, [8]], [7, [7]], [6, [6]]]], [[[2, [2]]], [[5, [5]]], [[10, [10]]], [[3, [3]]], [[8, [8]]], [[9, [9]]], [[7, [7]]], [[6, [6]]]]];2;2;4
